ID,NAME,LINK_ID,tid,tname,m_tid,m_tname
2,"工科生怎么看懂《经济学人》（The Economist）？",27212373,19609455,金融,19609455,金融
3,"十三五规划（2016-2020）期间的经济局势会比 2015 年的要好么？",37190574,19609455,金融,19609455,金融
4,在什么情况下，公司创始人会被踢出董事局？,32291066,19609455,金融,19609455,金融
6,为什么很多电影特效公司即便得奖后，也依然会面临破产？,23176083,19550429,电影,6,动漫与电影
7,如何高效地阅读财经新闻并将其转化为知识储备？,23077635,19551066,财经,10,金融
8,如何评价吴晓波的文章《最后一个“看门狗”也走了》？,31036826,19551066,财经,10,金融
9,"如何看待浙财大教授@谢作诗 的“低收入者可以几人合找一个老婆”的观点？",36747480,19560170,经济学,10,金融
12,雪球网上有哪些值得关注的用户？,21879482,19551066,财经,10,金融
13,记者内幕调查常用的方法有哪些？查证并突破关键证据有哪些经验？,20033375,19551066,财经,10,金融
14,"为什么《经济学人》（The Economist）几乎期期都有关于中国的内容？西方对中国这么感兴趣么？",19770389,19552981,经济,10,金融
15,如果有一天基层会计岗位不存在了，现在我们能做些什么才不被淘汰？,36866554,19551066,财经,10,金融
16,为什么有些公司盈利很高（比如中国移动，日利润3个亿），股价却涨不起来？,41521932,19551066,财经,10,金融
17,有没有比较好的财经论坛？有很多人讨论时事的那种，请大家推荐一下,22181955,19609455,金融,19609455,金融
19,山西的大学确实都是故步自封校风很差的吗？,41156838,19556353,大学,12,教育
21,为什么这个世界总是掌握在劣迹斑斑的人手里？,39173116,19558663,"经济学人（The Economist）",10,金融
22,湖北的理科生要考中南财经政法大学高考分需比一本多多少分？,40133812,19553176,教育,12,教育
23,有哪些有趣又专业的财经网站、微信公共号?,23150218,19551066,财经,10,金融
24,如何看待对外经济贸易大学一大一学生文章《同学，听说你要保送了？》？,38727247,19556353,大学,12,教育
25,你心目中的「中国财经类大学排名」应该是怎么样的？,39442410,19556353,大学,12,教育
27,有没有好玩有趣的网站的集合？,19595234,19574520,财经网站,10,金融
29,财经类媒体上经常出现的，金融业内人士最不能忍的常识性错误有哪些？,19980365,19550517,互联网,16,科技
30,"如何看待 21 世纪网涉嫌新闻诈骗一事？此事会对中国目前的「财经公关」行业带来怎样的改变？",25112529,19566933,社会,19566933,社会
36,中粮可乐的经营状况不佳，可口可乐为什么要继续和中粮集团合作？,20738245,19551066,财经,10,金融
37,在这只看钱的社会，微博上抄袭的营销号钱赚的比原作者多，看不起你怎么办？,38685688,19566933,社会,19551147,社会
